alpha,beta,gamma,delta,gamma1,gamma2,k,alive,stddev
-0.271252,-3,3.85588,1e-08,1.43724,0.3025,-0.88873,4663,6.23467
-0.271252,-3,3.85588,1e-08,3.36119,1.90069,-0.516953,4525,4.5169
-0.271252,-3,3.85588,1e-08,3.72338,1.41179,0.352886,4102,12.2774
0.330625,-3,3.19586,0.000221733,0.469882,4.88017,0.62403,4670,4.7942
0.45981,-1.9739,3.05065,0.000322304,0.469882,4.88017,0.62403,4697,3.69068
0.646088,-3,2.994,0.000316758,0.469882,4.88017,0.62403,4650,4.29935
0.388959,-1.47295,3.94137,0.001,0.469882,4.88017,0.62403,4682,4.48435
-0.180822,-3,3.75423,1e-08,0.469882,4.88017,0.62403,4565,6.79815
-0.139989,-1.93106,4.27609,0.000544797,4.78799,3.72558,0.530564,4477,7.37579
-0.139989,-1.93106,4.27609,0.000544797,0.732811,0.86044,0.580493,4054,19.1013
-0.139989,-1.93106,4.27609,0.000544797,1.43724,0.3025,-0.88873,4698,4.27017
-0.139989,-1.93106,4.27609,0.000544797,3.36119,1.90069,-0.516953,4488,8.61684
-0.139989,-1.93106,4.27609,0.000544797,3.72338,1.41179,0.352886,4019,13.3567
0.330625,-3,3.19586,0.000221733,4.74128,4.68263,-1,4776,1.06066
0.45981,-1.9739,3.05065,0.000322304,4.74128,4.68263,-1,4778,1.11102
0.646088,-3,2.994,0.000316758,4.74128,4.68263,-1,4778,1.16592
0.388959,-1.47295,3.94137,0.001,4.74128,4.68263,-1,4764,1.08972
-0.180822,-3,3.75423,1e-08,4.74128,4.68263,-1,4774,1.65359
-0.219628,-2.25174,4.09332,0.000381361,4.78799,3.72558,0.530564,4552,7.63217
-0.219628,-2.25174,4.09332,0.000381361,0.732811,0.86044,0.580493,4024,9.63717
-0.219628,-2.25174,4.09332,0.000381361,1.43724,0.3025,-0.88873,4672,5.3619
-0.219628,-2.25174,4.09332,0.000381361,3.36119,1.90069,-0.516953,4454,9.64932
-0.219628,-2.25174,4.09332,0.000381361,3.72338,1.41179,0.352886,4061,13.0873
0.330625,-3,3.19586,0.000221733,3.04131,4.27828,1,4664,4.12311
0.45981,-1.9739,3.05065,0.000322304,3.04131,4.27828,1,4669,5.68132
